sample_id	subpopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
S_00775	indica	0.160915	-0.127656	0.010791	-0.026517	-0.008933	-0.041698	-0.013274	0.010895	0.00183	0.000626
S_00776	indica	0.212215	-0.121289	0.017473	-0.008381	0.00063	0.008733	-0.053096	0.028463	-0.0068	0.011157
S_00777	indica	0.177579	-0.057572	0.026381	-0.02407	0.005872	-0.010609	0.010323	0.01798	0.013882	0.011148
S_00778	indica	0.16242	-0.035621	0.00665	0.024082	0.009411	-0.0038	0.004238	0.018298	0.009366	0.017994
S_00779	indica	0.174182	0.032885	-0.007145	0.001893	0.011523	-0.026589	-0.005077	0.005476	0.003325	0.016614
S_00780	indica	0.060165	-0.119654	0.019889	0.0148	0.038921	-0.002318	0.023949	0.044525	-0.045709	-0.033151
S_00781	indica	0.168442	-0.105279	0.030304	-0.005315	-0.014005	0.024717	0.013049	-0.011656	0.013667	-0.018429
S_00782	indica	0.156589	0.048917	-0.016897	-0.009998	-0.009231	-0.011243	-0.050909	-0.031183	0.00302	0.027519
S_00783	indica	0.238644	-0.051805	-0.002553	-0.033557	-0.005132	-0.004806	-0.011828	0.011899	0.007834	0.011024
S_00784	indica	0.328702	0.010732	-0.039419	-0.027917	-0.001204	-0.017815	-0.005051	0.028282	0.001599	-0.024209
S_00785	indica	0.282896	-0.033046	-0.001048	0.004253	0.010264	-0.014715	0.001212	0.024871	0.024633	-0.016374
S_00786	indica	0.198945	0.069473	-0.005213	-0.026873	-0.012956	0.011941	-0.002059	0.00078	0.005211	-0.005558
S_00787	indica	0.227768	0.057727	0.008516	0.010499	0.022471	0.014611	0.022641	-0.040445	0.000693	0.008039
S_00788	indica	0.189978	-0.071628	-0.002654	-0.014755	0.006749	0.013546	-0.004805	0.021276	-0.01049	-0.01199
S_00789	indica	0.202733	-0.044765	0.019859	-0.003459	0.010662	0.018765	-0.032573	-0.001084	0.002399	-0.036937
S_00790	indica	0.201208	-0.032428	-0.028841	0.026604	0.00251	-0.045053	-0.009518	-0.006485	-0.002255	-0.01526
S_00791	indica	0.134459	-0.00623	-0.01932	0.019285	0.009753	0.004736	-0.011381	0.002226	0.00119	0.002986
S_00792	indica	0.102615	-0.021419	-0.045537	0.002448	0.049396	-0.019455	-0.016209	0.016591	-0.016849	-0.020642
S_00793	indica	0.18397	-0.011946	0.017371	-0.009323	-0.012043	-0.005266	-0.014141	0.005983	0.027357	-0.016626
S_00794	indica	0.129409	-0.025146	-0.011641	-0.028605	-0.026651	-0.037125	-0.00134	-0.01484	0.035774	0.00788
S_00795	indica	0.137375	-0.086338	-0.009333	-0.027243	-0.001569	0.021996	-0.00643	-0.013906	-0.039449	-0.029484
S_00796	indica	0.203084	-0.028846	0.003779	-0.028511	0.017454	-0.010046	-0.036862	-0.022164	-0.012851	-0.001504
S_00797	indica	0.099182	0.030968	-0.000306	0.016964	0.028715	-0.005912	-0.012714	0.011527	-0.03475	0.021564
S_00798	indica	0.194417	-0.046347	-0.022709	-0.026147	-0.006203	0.009203	-0.000368	-0.046124	-0.013757	0.010266
S_00799	indica	0.306879	-0.029896	0.00761	7.5e-05	-0.008076	-0.023028	-0.018351	-0.026829	0.009268	0.017019
S_00800	indica	0.186776	-0.058786	0.020189	0.044329	-0.034955	0.011197	0.002744	0.006411	0.013843	0.030778
S_00801	indica	0.190485	0.106741	-0.023595	0.015227	-0.028583	-0.028376	0.008378	0.014399	-0.011578	0.011188
S_00802	indica	0.154903	0.044923	-0.029608	0.004138	0.005722	0.004202	2.7e-05	-0.002409	-0.051496	-0.02935
S_00803	indica	0.257181	0.020228	0.027157	0.00124	0.033742	-0.002784	0.020617	-0.009367	-0.011017	0.018098
S_00804	indica	0.112187	0.069483	0.03685	-0.000128	0.027572	-0.010718	-0.004959	0.00475	-0.011067	0.014079
S_00805	indica	0.250998	0.017596	-0.010258	-0.030466	0.008337	-0.007078	-0.032337	-0.024092	-0.005708	0.030474
S_00806	indica	0.220608	-0.073197	-0.021589	-0.019857	-0.020398	0.003205	0.022249	0.054133	0.035307	-0.009648
S_00807	indica	0.25377	-0.015151	0.034819	0.010295	-0.009906	0.019285	-0.015839	-0.01257	-0.006263	-0.005355
S_00808	indica	0.074468	0.039118	0.053405	-0.024785	0.027059	-0.03395	-0.001645	-0.016603	0.003761	0.010462
S_00809	indica	0.121325	-0.030713	0.014741	-0.018566	0.02479	0.025698	-0.009482	0.028363	-0.038872	-0.012293
S_00810	indica	0.229769	0.035149	0.022033	0.019592	0.000788	0.01377	0.0006	-0.029361	0.018082	0.011385
S_00811	indica	0.190515	-0.055257	0.03894	-0.018633	0.001444	-0.014038	-0.00109	0.022722	0.008198	-0.006154
S_00812	indica	0.246264	0.034272	-0.00134	-0.008605	-0.014503	-0.037866	0.031019	-0.014175	-0.023182	-0.016995
S_00813	indica	0.130459	0.044856	-0.001722	-0.019534	-0.016116	-0.020013	0.022491	-0.02857	0.001641	0.009781
S_00814	indica	0.219846	-0.007579	-0.002783	-0.046975	-0.000336	-0.009931	-0.026417	0.028945	0.025148	-0.007466
S_00815	indica	0.219207	-0.020776	-0.037796	-0.008599	0.017413	-0.002216	-0.019951	0.022623	0.006986	-0.023194
S_00816	indica	0.164229	-0.046065	-0.019677	0.015201	-0.010841	0.00274	0.035681	-0.013383	-0.022062	2.3e-05
S_00817	indica	0.171226	-0.040832	-0.018234	-0.030988	-0.007873	-0.025861	-0.022032	0.056798	0.048461	0.047534
S_00818	indica	0.17974	-0.086173	0.011094	-0.02058	-0.005526	-0.018645	0.017878	-0.002128	0.006466	-0.012141
S_00819	indica	0.186233	-0.128564	-0.002015	-0.006256	0.008333	-0.0094	-0.019884	0.001564	0.029207	-0.002874
S_00820	indica	0.303748	-0.169436	-0.017329	-0.005384	-0.026658	-0.054763	0.000965	-0.019897	-0.016066	-0.00284
S_00821	indica	0.185077	-0.057893	0.012388	-0.015714	0.022733	0.024485	-0.031652	-0.0175	0.018456	-0.025466
S_00822	indica	0.163778	-0.011645	0.020034	0.023475	-0.002856	0.010817	0.006607	0.032561	-0.00025	-0.002698
S_00823	indica	0.186308	-0.097807	-0.026015	-0.0538	0.029407	0.03922	-0.034441	0.016977	0.008033	-0.004031
S_00824	indica	0.234847	-0.027036	0.053024	0.018144	-0.015758	-0.021717	0.02758	-0.00531	-0.004332	0.002984
S_00825	indica	0.201946	0.047603	-0.018891	-0.046002	-0.011127	-0.015895	-0.01274	-0.033268	-0.018857	-0.029112
S_00826	indica	0.254838	-0.085555	-0.004592	0.028742	-0.006798	0.007487	0.020128	0.011504	-0.011663	-0.020839
S_00827	indica	0.274595	-0.00984	-0.014359	-0.007049	-0.001037	-0.035555	0.009655	0.02089	-0.013114	-0.016819
S_00828	indica	0.173533	-0.032782	0.040339	0.017006	0.003585	-0.012276	0.001537	-0.003687	-0.023277	-0.008556
S_00829	indica	0.224173	-0.08453	-0.026328	-0.003142	-0.00798	-0.034425	0.023785	0.023514	0.041709	-0.009136
S_00830	indica	0.231854	0.05173	0.010841	0.023015	0.003198	-0.009737	0.009378	0.009839	0.013614	0.021817
S_00831	indica	0.207427	-0.033729	0.023569	-0.002988	-0.016414	0.018961	-0.042679	0.022409	0.016912	9e-06
S_00832	indica	0.265768	-0.044815	0.006005	-0.028723	-0.024683	0.0089	-0.008225	-0.022891	0.018562	-0.001635
S_00833	indica	0.158446	-0.030683	0.030088	0.021575	0.001045	0.012868	-0.01162	0.035986	0.026188	-0.007178
S_00834	indica	0.209851	0.033695	0.019297	0.020163	0.0137	0.006911	-0.031869	0.029262	-0.006748	0.004899
S_00835	indica	0.19636	0.041433	-0.008465	-0.023291	0.029347	0.013935	0.030885	-0.000901	0.006806	0.018056
S_00836	indica	0.137518	-0.112845	-0.016491	-0.012783	0.035631	0.051374	-0.00419	0.001856	-0.006391	-0.004869
S_00837	indica	0.218302	-0.000795	-0.00705	-0.002211	-0.012087	-0.014644	-0.008006	0.013829	0.009719	-0.0105
S_00838	indica	0.255626	-0.017424	0.019136	-0.003804	0.036028	0.027947	0.014526	0.028836	-0.012913	0.034801
S_00839	indica	0.125351	-0.016254	-0.012268	-0.038129	-0.02593	-0.008704	0.009744	-0.007405	0.018759	-0.006553
S_00840	indica	0.14307	0.059638	0.024139	-0.00492	-0.032253	-0.021806	-0.010339	0.001514	0.023968	0.001432
S_00841	indica	0.215257	0.004562	-0.023606	0.022505	0.030398	0.010486	0.030958	-0.005003	0.000153	0.027397
S_00842	indica	0.18788	-0.057353	0.035664	-0.00309	-0.016066	-0.000225	-0.042853	0.020905	0.026959	-0.024878
S_00843	indica	0.158165	0.089239	0.019327	-0.006623	-0.003339	0.008027	0.028411	0.015497	0.011302	-0.004079
S_00844	indica	0.289566	0.013542	-0.021969	-0.007779	0.036044	-0.036338	-0.021176	0.01096	-0.002752	-0.022695
S_00845	indica	-0.009873	-0.040665	0.023603	-0.020011	-0.022941	0.015492	0.028052	-0.017584	-0.006955	-0.03036
S_00846	indica	0.197907	-0.065402	-0.003396	-0.04898	0.018331	-0.036911	-0.026989	-0.004817	-0.040382	-0.032299
S_00847	indica	0.141991	-0.130113	-0.014127	-0.002103	0.034068	0.017392	-0.049187	-0.00424	-0.017269	0.009113
S_00848	indica	0.177654	-0.000211	0.013004	-0.007796	-0.033083	-0.008299	0.012447	0.011378	-0.003741	0.01333
S_00849	indica	0.192215	-0.097746	0.003462	0.0167	0.026207	-0.011712	0.002461	-0.004775	-0.026993	0.006381
S_00850	indica	0.142513	-0.016902	-0.013351	-0.01185	-0.001235	0.001615	0.009901	-0.00817	-0.005645	0.007322
S_00851	indica	0.173062	-0.019753	-0.011508	-0.001038	0.016468	0.01623	0.016341	0.024251	0.003002	0.019836
S_00852	indica	0.178878	0.038764	0.015103	0.033272	0.01667	0.013562	0.006327	-0.01006	-0.012944	0.016963
S_00853	indica	0.121972	0.071804	0.004126	0.012293	0.019398	0.005014	-0.001642	-0.042981	0.007117	0.011263
S_00854	indica	0.110963	-0.009613	-0.002073	0.020809	-0.034108	-0.011112	-0.003941	-0.017285	0.003732	-0.04116
S_00855	indica	0.063458	-0.022571	0.010955	-0.01655	0.007373	0.006079	0.011527	0.001541	-0.034157	-0.0
S_00856	indica	0.205568	0.068041	-0.02996	0.045835	-0.001684	-0.021283	-0.005663	0.022366	0.001033	-0.015056
S_00857	indica	0.238825	0.037084	0.000114	0.034124	0.042235	-0.048415	0.000616	0.03707	0.009973	0.029684
S_00858	indica	0.231922	-0.106751	-0.012645	-0.000185	0.026722	-0.001251	-0.009583	-0.010799	0.00377	0.004133
S_00859	indica	0.334256	-0.02923	-0.024773	0.012368	0.005441	0.003498	-0.014288	0.009412	-0.009712	-0.010783
S_00860	indica	0.163069	0.037079	-0.028685	-0.00178	-0.005299	0.014928	-0.003549	0.018256	-0.015284	0.008645
S_00861	indica	0.214385	-0.015953	0.031295	0.010633	0.005349	0.021964	0.007735	-0.005013	0.01938	0.044662
S_00862	indica	0.16491	0.017214	0.002721	0.001897	-0.037716	-0.01272	-0.016063	0.028699	-0.022377	0.026575
S_00863	indica	0.141746	-0.031315	-0.008055	-0.011123	-0.031175	0.027817	0.022482	0.024088	0.019337	0.01824
S_00864	indica	0.27165	-0.066338	0.01142	0.029074	0.007042	-0.00356	-0.017549	-0.005288	-0.009327	-0.059743
S_00865	indica	0.226152	0.069497	0.012557	0.003547	-0.014498	-0.004761	0.028074	-0.027351	0.045307	-0.030041
S_00866	indica	0.249125	-0.060701	-0.008965	-0.043053	0.018985	0.008602	0.02151	-0.009903	0.026788	0.003705
S_00867	indica	0.187755	-0.050444	0.024801	0.007281	0.008471	-0.029581	-0.001174	-0.020098	-0.016124	-0.037064
S_00868	indica	0.233124	-0.027349	9e-05	-0.019692	0.003715	-0.0199	-0.001718	0.012641	0.007511	0.011837
S_00869	indica	0.157925	-0.136209	0.00557	-0.021335	-0.006403	-0.023552	-0.004647	0.013324	-0.006573	-0.024483
S_00870	indica	0.206623	-0.005052	0.000418	0.005633	0.024772	0.033271	0.014252	-0.00701	0.007242	-0.027754
S_00871	indica	0.198689	0.089489	-0.001034	-0.000228	-0.015673	0.022311	-0.005674	0.00611	-0.006974	-0.024267
S_00872	indica	0.187391	-0.080856	-0.013548	-0.011422	0.03444	0.012955	0.006304	-0.012581	0.012177	-0.002704
S_00873	indica	0.270503	-0.034074	0.034401	-0.004618	0.001808	-0.009315	-0.000521	-0.019614	-0.022956	-0.033247
S_00874	indica	0.148108	-0.077096	0.005758	-0.012894	-0.003111	0.02622	0.011867	-0.031266	0.008114	0.012044
S_00875	indica	0.189553	-0.077273	0.007247	-0.005116	0.005337	0.011627	0.008395	-0.009848	-0.032283	0.001926
S_00876	indica	0.190656	-0.03079	0.006509	0.010686	-0.021538	0.016881	0.00701	0.003269	0.001306	0.043783
S_00877	indica	0.224799	-0.026045	-0.031762	-0.005395	0.009692	-0.025411	-0.002945	0.002841	0.015714	-0.030106
S_00878	indica	0.187078	-0.034986	8.7e-05	0.008356	0.017552	0.021947	0.051905	0.004412	0.00915	-0.002496
S_00879	indica	0.193307	-0.074725	-0.003552	-0.01297	-0.025535	0.003156	-0.011214	0.004091	-0.005694	0.010092
S_00880	indica	0.28351	0.010318	-0.007134	-0.00736	0.004226	-0.008303	-0.00693	0.022917	0.005719	-0.009469
S_00881	indica	0.209137	-0.027857	-0.010131	0.004992	-0.008017	-0.011855	0.014284	-0.013585	0.027789	-0.024741
S_00882	indica	0.225516	0.002474	0.007133	0.005912	0.018087	-0.00515	-0.007501	-0.006671	0.039821	-0.020822
S_00883	indica	0.262039	-0.070297	0.010741	0.022124	-0.02445	-0.017673	0.017407	0.024028	-0.011745	0.034973
S_00884	indica	0.181891	0.001652	0.025462	-0.014793	0.033294	-0.014937	-0.001919	-0.007738	0.04651	0.000637
S_00885	indica	0.249535	0.048675	-0.008504	0.017997	-0.006285	-0.034529	-0.007398	0.001009	-0.044724	-0.023804
S_00886	indica	0.193402	0.004423	0.012666	-0.000416	-0.01316	0.011599	-0.027299	0.014163	-0.030457	0.018286
S_00887	indica	0.14452	0.071453	-0.008528	-0.012372	-0.020453	0.01147	-0.024109	-0.005194	0.008548	-0.017758
S_00888	indica	0.143754	-0.051251	-0.027148	-0.014457	-0.000336	-0.031167	0.000141	0.001509	0.003718	-0.000142
S_00889	indica	0.058738	-0.074499	0.006162	-0.003342	-0.02272	0.031542	0.024762	-0.027464	-0.003093	0.010722
S_00890	indica	0.293827	-0.147282	0.012731	-0.007752	0.003185	-0.005987	0.033151	0.038964	-0.005554	-0.018663
S_00891	indica	0.349479	0.004308	-0.021525	0.022441	-0.004081	-0.006682	0.021114	-0.034486	0.018727	0.003595
S_00892	indica	0.218895	-0.009684	-0.033256	-0.015441	0.007479	0.010256	-0.001344	-0.033184	-0.005359	-0.016002
S_00893	indica	0.152279	0.007405	0.006043	-0.030234	-0.002666	0.011334	0.003751	-0.003471	0.000168	-0.02366
S_00894	indica	0.309935	-0.013345	-0.017421	-0.036964	-0.035463	-0.012556	0.02063	-0.011485	-0.005304	-0.020316
S_00895	indica	0.286194	0.111985	-0.05473	-0.007439	0.009751	0.009767	-0.010306	-0.009562	0.013399	0.030279
S_00896	indica	0.091891	-0.062468	0.009131	-0.020547	-0.011083	0.026433	0.0056	-0.010617	0.009488	-0.027243
S_00897	indica	0.207673	0.005726	0.024007	0.012771	0.002721	-0.003918	-0.00502	0.024469	0.024729	0.01076
S_00898	indica	0.20009	-0.071983	-0.027035	-0.009103	0.015512	0.003199	0.025521	-0.003769	-0.03255	-0.01378
S_00899	indica	0.247461	-0.006401	0.002447	-0.000907	-0.010119	0.01277	-0.010562	0.007865	0.000372	-0.032166
S_00900	indica	0.289166	-0.036115	0.016745	0.011749	-0.000495	-0.009216	0.004033	-0.010674	-0.016754	-0.01022
S_00901	indica	0.098672	-0.080893	-0.00286	0.011103	-0.0405	0.00956	0.026528	0.017615	0.027142	-0.024111
S_00902	indica	0.140511	-0.104708	0.027307	0.043662	-0.032137	-0.003303	-0.026799	-0.037574	-0.019063	0.029455
S_00903	indica	0.168239	0.02654	0.013116	-0.016701	0.026678	-0.021879	-0.010417	0.008881	-0.006073	-0.005049
S_00904	indica	0.246008	0.047218	-0.036144	0.000563	0.025257	0.031576	-0.050409	-0.015382	0.001677	-0.008376
S_00905	indica	0.240742	0.007701	0.010865	-0.004778	-0.003575	0.018666	0.010644	0.006683	0.002123	-0.015302
S_00906	indica	0.15301	-0.013369	0.020713	-0.020286	0.006537	0.007947	-0.005163	-0.00238	0.012808	-0.015681
S_00907	indica	0.280473	-0.124607	0.013176	0.013852	0.027666	-0.040799	-0.021236	0.02159	-0.015608	-0.000583
S_00908	indica	0.261771	-0.084343	-0.020874	-0.019754	-0.000843	-0.014964	0.001093	-0.002277	0.009999	-0.01322
S_00909	indica	0.230665	0.029212	0.017779	0.008776	-0.008614	0.002081	-0.028029	0.006103	0.018104	-0.013131
S_00910	indica	0.280598	0.028426	0.039284	-0.02242	0.001524	-0.013254	-0.008295	0.01538	0.023079	-0.000517
S_00911	indica	0.178074	-0.085468	-0.000991	0.0055	0.01258	0.018698	-0.011182	-0.013554	0.026591	0.005302
S_00912	indica	0.096282	0.074177	-0.013672	0.016215	-0.006576	0.001109	0.033364	-0.036427	-0.006421	-0.014504
S_00913	indica	0.181686	-0.039667	0.018483	0.008593	-0.00944	0.030121	0.016844	-0.017648	-0.007498	-0.013567
S_00914	indica	0.210669	-0.043857	0.014915	-0.010603	0.000239	-0.01199	-0.012176	0.01692	-0.030199	0.004686
S_00915	indica	0.246773	0.056595	-0.018789	0.02432	-0.002167	0.001813	0.005564	-0.026389	0.02622	0.013948
S_00916	indica	0.158966	-0.056078	0.047125	-0.004046	-0.00147	-0.032641	-0.004636	0.01044	-0.010919	0.002902
S_00917	indica	0.217174	-0.042942	0.020064	-0.00383	-0.001702	-0.000223	-0.035999	0.011557	0.015378	0.015518
S_00918	indica	0.224375	-0.026124	0.010891	0.054527	-0.022041	0.012086	0.009797	0.016831	-0.028526	0.040272
S_00919	indica	0.274592	-0.034742	0.03652	0.003307	0.042391	0.004328	-0.040227	-0.000527	-0.00906	-0.027482
S_00920	indica	0.139327	-0.004352	-0.01498	0.020028	-0.033681	-0.004938	0.009413	0.00813	-0.011237	0.005428
S_00921	indica	0.136579	-0.062681	-0.028415	0.026163	-0.008079	-0.019875	-0.005773	0.027231	0.035161	-0.017878
S_00922	indica	0.305398	-0.02413	0.023019	0.017582	-0.015335	-0.013737	-0.033377	0.000754	0.008225	-0.004047
S_00923	indica	0.124493	0.005933	0.016203	0.00337	-0.012474	0.006792	-0.018801	0.00551	0.007555	0.021218
S_00924	indica	0.308274	0.088501	0.017703	-0.010616	0.013359	-0.028196	-0.000137	-0.002467	-0.010048	0.010093
S_00925	indica	0.172413	0.098377	-0.003474	0.038032	0.005793	-0.019874	0.002277	0.042876	-0.003041	0.00181
S_00926	indica	0.230785	0.026198	0.015074	-0.033834	-0.014622	-0.010616	0.060793	-0.015951	0.002765	0.05382
S_00927	indica	0.22808	0.058848	0.017035	-0.031666	-0.009274	-0.004937	-0.036072	-0.041582	0.019975	0.038434
S_00928	indica	0.134736	-0.027895	0.029138	0.021052	-0.028248	-0.000756	0.008226	-0.037599	-0.010819	-0.011139
S_00929	indica	0.061307	-0.06819	0.002535	0.008479	-0.026012	0.010789	-0.003958	-0.002628	-0.011858	-0.043427
S_00930	indica	0.249261	0.006668	-0.000509	-0.010567	-0.027073	0.008105	-0.009303	0.01152	0.013451	-0.010045
S_00931	indica	0.154588	-0.030823	0.006588	-0.034499	0.00375	-0.029107	-0.007305	0.046185	-0.01986	-0.020478
S_00932	indica	0.173651	-0.034258	-0.02604	0.006838	0.012745	0.010155	0.00696	-0.005427	-0.018929	0.000685
S_00933	indica	0.229123	-0.071208	-0.004208	0.000237	0.045282	0.022564	0.027058	0.014069	-0.012288	0.012249
S_00934	indica	0.28847	-0.079777	0.001219	0.002582	0.011217	0.023331	-0.003963	-0.00314	0.062981	-0.009604
S_00935	indica	0.11655	-0.012738	-0.011248	-0.003382	-0.002384	-0.045646	0.001722	0.004587	0.023698	0.003455
S_00936	indica	0.266608	0.076419	0.010505	0.009236	-0.006596	0.01245	-0.00661	-0.046958	-0.002529	0.022785
S_00937	indica	0.250576	-0.036911	-0.015833	-0.00531	-0.000707	-0.023395	-0.02015	-0.001606	0.004317	0.011545
S_00938	indica	0.150236	-0.135411	-0.003877	0.019599	-0.029506	-0.017113	-0.013418	0.032928	0.022167	-0.006627
S_00939	indica	0.244171	-0.062823	-0.000675	-0.036788	-0.019588	-0.019081	-0.023371	0.011121	-0.019885	0.020146
S_00940	indica	0.23101	-0.006895	0.023399	0.005039	-0.014249	-0.008654	0.01334	-0.02551	0.018194	-0.004049
S_00941	indica	0.23471	-0.014012	-0.015602	0.031757	-0.004866	0.006054	-0.010646	-0.016087	0.001884	-0.010041
S_00942	indica	0.19433	-0.013018	-0.010643	0.01969	0.012003	-0.041085	-0.018278	-0.007456	-0.019642	-0.014614
S_00943	indica	0.236225	0.007858	-0.032291	-0.026005	0.005025	-0.00608	0.01635	-0.013071	0.000681	-0.017477
S_00944	indica	0.181232	0.014563	0.007644	-0.022224	0.020877	-0.001279	0.008714	0.008615	-0.009127	0.017402
S_00945	indica	0.154891	-0.04345	-0.024397	-0.030914	0.043932	-0.003331	-0.008227	0.037505	-0.034849	0.024391
S_00946	indica	0.212588	-0.029256	-0.00466	-0.00599	0.029779	0.02027	-0.002681	-0.015803	0.000469	-0.020221
S_00947	indica	0.149771	-0.038862	-0.015219	-0.012969	-0.00727	-0.020787	0.030373	-0.042546	0.013991	0.013374
S_00948	indica	0.187329	-0.030769	0.002762	0.000856	0.013945	0.010836	-0.008175	-0.019771	0.006262	0.011424
S_00949	indica	0.244528	-0.053798	0.049512	-0.034621	0.03685	-0.016191	-0.002133	0.034999	0.037213	0.031103
S_00950	indica	0.245248	0.00309	-0.027789	-0.02381	-0.001525	0.012127	0.014406	0.016924	0.027912	0.028368
S_00951	indica	0.200366	-0.145081	0.02018	-0.0044	-0.009653	0.003354	-0.025874	-0.004531	-0.028957	-0.046443
S_00952	indica	0.156027	0.065485	0.002368	0.015473	-0.002382	0.007967	-0.037906	-0.014601	-0.017562	-0.027474
S_00953	indica	0.204543	0.002002	0.006941	-0.001244	0.01391	0.00115	0.005385	-0.011727	0.010836	0.008355
S_00954	indica	0.136772	-0.06014	0.0213	-0.026261	-0.008334	0.020364	0.013445	0.019519	0.012058	-0.007221
S_00955	indica	0.092419	0.100835	0.016197	-0.01772	0.00242	-0.012677	-0.002085	0.011796	-0.014192	0.037812
S_00956	indica	0.178038	-0.047896	0.023555	-0.023204	0.002512	0.042307	0.001856	0.004445	-0.011545	-0.018677
S_00957	indica	0.184736	0.114075	0.018358	0.010712	0.01381	0.019165	-0.006602	-0.000329	-0.001284	0.008983
S_00958	indica	0.140731	-0.098405	-0.014753	0.007801	-0.02199	0.015416	-0.02293	-0.004309	-0.027643	0.012259
S_00959	indica	0.107099	-0.140256	0.001256	0.006489	0.015341	0.003499	0.008452	0.003711	0.0041	0.027527
S_00960	indica	0.185389	-0.078821	0.026172	0.019345	0.011491	-0.010855	0.009645	0.033755	-0.00949	0.013479
S_00961	indica	0.1186	-0.075923	0.01963	0.013205	-0.00697	-0.02167	-0.014838	0.040952	0.001243	0.017357
S_00962	indica	0.232636	-0.004846	0.008944	-0.006509	0.022618	0.001814	-0.006301	0.0108	-0.000695	0.007975
S_00963	indica	0.147996	-0.125898	-0.043896	-0.029432	-0.020063	-0.011554	0.000151	0.009626	0.010864	-0.023497
S_00964	indica	0.310497	-0.027785	-0.01195	-0.001913	0.005374	0.007072	-0.010983	0.030747	-0.031153	0.009559
S_00965	indica	0.243675	-0.023933	-0.018969	0.001614	0.018583	0.001587	-0.01044	-0.040827	0.006054	-0.038975
S_00966	indica	0.263238	-0.067054	0.023109	0.019802	-0.000559	-0.004055	0.039039	-0.005272	-0.00596	-0.009309
S_00967	indica	0.153587	-0.020395	-0.003038	-0.053749	-0.020963	0.025529	0.017201	0.046709	-0.033392	-0.039716
S_00968	indica	0.262077	-0.083373	0.01761	-0.012927	0.023635	-0.006337	-0.002896	0.030014	0.015187	-0.012889
S_00969	indica	0.033412	0.073161	-0.00211	0.005396	-0.018195	-0.002308	-0.016224	-0.013833	-0.050429	0.014641
S_00970	indica	0.210868	-0.068224	0.02308	-0.004483	-0.008833	-0.020599	0.030601	0.042245	-0.021054	-0.020737
S_00971	indica	0.181818	0.025177	0.001091	-0.003374	0.015777	0.004152	-0.005514	-0.00365	-0.00729	0.019925
S_00972	indica	0.196864	-0.022797	-0.000167	0.018571	-0.008214	0.038727	-0.017365	-0.029501	0.004766	0.007016
S_00973	indica	0.172515	0.174134	0.008716	0.025061	0.012288	0.006827	-0.018452	0.00314	0.010766	-0.026361
S_00974	indica	0.061063	0.051434	0.012698	0.009001	-0.00554	0.016341	-0.027749	-0.011783	-0.011558	0.0236
S_00975	indica	0.181898	-0.057159	0.016731	0.019145	-0.002668	0.008029	-0.025706	-0.011445	-0.018623	-0.005516
S_00976	indica	0.243223	-0.065703	0.013913	0.016522	-0.018095	0.043102	-0.005235	-0.021864	-0.018771	0.009171
S_00977	indica	0.186119	-0.013487	-0.04686	-0.018183	-0.029524	0.01601	-0.012717	-0.011241	0.001107	0.023939
S_00978	indica	0.249769	0.03227	-0.015272	-0.006674	0.000669	-0.019962	-0.001792	0.001252	0.01441	-0.038149
S_00979	indica	0.178781	-0.016094	0.035443	0.012683	-0.0106	-0.014567	0.013565	0.009521	-0.017821	0.002085
S_00980	indica	0.288415	0.015367	-0.014998	-0.029168	0.012805	0.004431	0.020271	0.025847	-0.014221	0.00042
S_00981	indica	0.145764	-0.124612	-0.005425	0.016384	0.00227	-0.000155	-0.03038	0.00288	0.000127	0.000112
S_00982	indica	0.174046	-0.039291	0.011093	0.00773	-0.037308	0.006212	-0.006351	0.00234	0.014686	0.014109
S_00983	indica	0.30728	-0.032928	0.01371	-0.021096	0.013168	-0.02723	0.017574	-0.021431	-0.025911	0.011728
S_00984	indica	0.241658	0.079554	-0.006722	-0.010229	-0.001317	-0.025124	-0.016369	0.002471	-0.025045	-0.043931
S_00985	indica	0.110012	-0.017108	-0.023982	0.01954	0.016225	0.012971	-0.004242	0.002167	-0.024846	0.006867
S_00986	indica	0.248269	-0.017514	-0.025905	-0.033444	-0.004307	-0.004038	0.04281	-0.028291	-0.0314	0.006419
S_00987	indica	0.169753	0.144506	-0.024659	0.030682	-0.018522	-0.000373	-0.005406	-0.019158	0.026972	0.011225
S_00988	indica	0.141521	0.054849	-0.016865	0.026838	0.003692	-0.015727	0.001345	-0.016938	-0.035002	0.02753
S_00989	indica	0.162689	-0.066602	-0.028876	0.00518	-0.040679	-0.021062	0.00388	-0.024109	0.012164	0.01286
S_00990	indica	0.250726	-0.036248	-0.015046	-0.013687	0.03755	0.010891	0.004868	0.007584	0.03665	0.028881
S_00991	indica	0.098871	-0.0062	0.036117	-0.004257	-0.001599	-0.01461	0.009995	-0.007282	0.026206	-0.021002
S_00992	indica	0.179029	-0.01058	-0.007523	-0.006377	0.004446	-0.006385	0.002289	-0.027221	0.024465	-0.038189
S_00993	indica	0.158263	0.061874	-0.043113	0.041711	-0.011942	-0.00597	-0.000336	0.021452	-0.003014	0.013062
S_00994	indica	0.255085	0.071617	0.00471	-0.012193	-0.024503	-0.013896	-0.0066	-0.011769	0.015577	-0.039338
S_00995	indica	0.159401	0.025921	-0.007401	-0.00223	0.012796	0.029726	0.024307	-0.015215	-0.037791	0.000908
S_00996	indica	0.137235	-0.049767	-0.016615	0.022244	-0.010162	-0.003927	0.019271	0.008651	-0.00546	0.005384
